Package, File, Status, GitHub
ggplot2, diamonds.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/diamonds.rda
ggplot2, economics_long.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/economics_long.rda
ggplot2, economics.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/economics.rda
ggplot2, faithfuld.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/faithfuld.rda
ggplot2, luv_colours.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/luv_colours.rda
ggplot2, midwest.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/midwest.rda
ggplot2, mpg.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/mpg.rda
ggplot2, msleep.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/msleep.rda
ggplot2, presidential.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/presidential.rda
ggplot2, seals.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/seals.rda
ggplot2, txhousing.rda, 0, https://raw.githubusercontent.com/cran/ggplot2/3.5.1/data/txhousing.rda
rlang, NA, 0, NA
Rcpp, NA, 0, NA
lifecycle, NA, 0, NA
dplyr, band_instruments.rda, 0, https://raw.githubusercontent.com/cran/dplyr/1.1.4/data/band_instruments.rda
dplyr, band_instruments2.rda, 0, https://raw.githubusercontent.com/cran/dplyr/1.1.4/data/band_instruments2.rda
dplyr, band_members.rda, 0, https://raw.githubusercontent.com/cran/dplyr/1.1.4/data/band_members.rda
dplyr, starwars.rda, 0, https://raw.githubusercontent.com/cran/dplyr/1.1.4/data/starwars.rda
dplyr, storms.rda, 0, https://raw.githubusercontent.com/cran/dplyr/1.1.4/data/storms.rda
cli, sysdata.rda, 0, https://raw.githubusercontent.com/cran/cli/3.6.2/data/sysdata.rda
vctrs, NA, 0, NA
jsonlite, NA, 0, NA
tibble, NA, 0, NA
glue, NA, 0, NA
pillar, NA, 0, NA
withr, NA, 0, NA
fs, NA, 0, NA
magrittr, NA, 0, NA
tidyselect, NA, 0, NA
scales, NA, 0, NA
fansi, NA, 0, NA
htmltools, NA, 0, NA
utf8, NA, 0, NA
tidyverse, NA, 0, NA
gtable, NA, 0, NA
stringr, fruit.rda, 0, https://raw.githubusercontent.com/cran/stringr/1.5.1/data/fruit.rda
stringr, sentences.rda, 0, https://raw.githubusercontent.com/cran/stringr/1.5.1/data/sentences.rda
stringr, words.rda, 0, https://raw.githubusercontent.com/cran/stringr/1.5.1/data/words.rda
knitr, NA, 0, NA
R6, NA, 0, NA
digest, NA, 0, NA
xfun, NA, 0, NA
tidyr, billboard.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/billboard.rda
tidyr, cms_patient_care.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/cms_patient_care.rda
tidyr, cms_patient_experience.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/cms_patient_experience.rda
tidyr, construction.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/construction.rda
tidyr, fish_encounters.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/fish_encounters.rda
tidyr, household.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/household.rda
tidyr, population.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/population.rda
tidyr, relig_income.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/relig_income.rda
tidyr, smiths.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/smiths.rda
tidyr, table1.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/table1.rda
tidyr, table2.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/table2.rda
tidyr, table3.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/table3.rda
tidyr, table4a.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/table4a.rda
tidyr, table4b.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/table4b.rda
tidyr, table5.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/table5.rda
tidyr, us_rent_income.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/us_rent_income.rda
tidyr, who.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/who.rda
tidyr, who2.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/who2.rda
tidyr, world_bank_pop.rda, 0, https://raw.githubusercontent.com/cran/tidyr/1.3.1/data/world_bank_pop.rda
purrr, NA, 0, NA
pkgconfig, NA, 0, NA
curl, sysdata.rda, 0, https://raw.githubusercontent.com/cran/curl/5.2.1/data/sysdata.rda
munsell, sysdata.rda, 0, https://raw.githubusercontent.com/cran/munsell/0.5.1/data/sysdata.rda
bslib, sysdata.rda, 0, https://raw.githubusercontent.com/cran/bslib/0.7.0/data/sysdata.rda
rmarkdown, NA, 0, NA
sass, NA, 0, NA
ragg, NA, 0, NA
cpp11, NA, 0, NA
stringi, NA, 0, NA
openssl, NA, 0, NA
data.table, NA, 0, NA
RColorBrewer, NA, 0, NA
readxl, NA, 0, NA
generics, NA, 0, NA
viridisLite, NA, 0, NA
labeling, NA, 0, NA
textshaping, NA, 0, NA
colorspace, max_chroma_table.rda, 0, https://raw.githubusercontent.com/cran/colorspace/2.1-0/data/max_chroma_table.rda
colorspace, USSouthPolygon.rda, 0, https://raw.githubusercontent.com/cran/colorspace/2.1-0/data/USSouthPolygon.rda
crayon, NA, 0, NA
evaluate, NA, 0, NA
yaml, NA, 0, NA
tinytex, NA, 0, NA
farver, sysdata.rda, 0, https://raw.githubusercontent.com/cran/farver/2.1.1/data/sysdata.rda
httr, NA, 0, NA
jquerylib, NA, 0, NA
isoband, NA, 0, NA
fastmap, NA, 0, NA
processx, NA, 0, NA
readr, sysdata.rda, 0, https://raw.githubusercontent.com/cran/readr/2.1.5/data/sysdata.rda
callr, NA, 0, NA
hms, NA, 0, NA
cachem, NA, 0, NA
systemfonts, sysdata.rda, 0, https://raw.githubusercontent.com/cran/systemfonts/1.0.6/data/sysdata.rda
fontawesome, sysdata.rda, 0, https://raw.githubusercontent.com/cran/fontawesome/0.5.2/data/sysdata.rda
memoise, NA, 0, NA
mime, NA, 0, NA
ps, NA, 0, NA
highr, NA, 0, NA
rappdirs, NA, 0, NA
base64enc, NA, 0, NA
MatrixModels, NA, 0, NA
quantreg, barro.rda, 0, https://raw.githubusercontent.com/cran/quantreg/5.97/data/barro.rda
quantreg, Bosco.rda, 0, https://raw.githubusercontent.com/cran/quantreg/5.97/data/Bosco.rda
quantreg, CobarOre.rda, 0, https://raw.githubusercontent.com/cran/quantreg/5.97/data/CobarOre.rda
quantreg, engel.rda, 0, https://raw.githubusercontent.com/cran/quantreg/5.97/data/engel.rda
quantreg, gasprice.rda, 0, https://raw.githubusercontent.com/cran/quantreg/5.97/data/gasprice.rda
quantreg, Mammals.rda, 0, https://raw.githubusercontent.com/cran/quantreg/5.97/data/Mammals.rda
quantreg, MelTemp.rda, 0, https://raw.githubusercontent.com/cran/quantreg/5.97/data/MelTemp.rda
quantreg, Peirce.rda, 0, https://raw.githubusercontent.com/cran/quantreg/5.97/data/Peirce.rda
quantreg, uis.rda, 0, https://raw.githubusercontent.com/cran/quantreg/5.97/data/uis.rda
xml2, NA, 0, NA
prettyunits, sysdata.rda, 0, https://raw.githubusercontent.com/cran/prettyunits/1.2.0/data/sysdata.rda
progress, NA, 0, NA
rstudioapi, NA, 0, NA
lubridate, lakers.rda, 0, https://raw.githubusercontent.com/cran/lubridate/1.9.3/data/lakers.rda
askpass, NA, 0, NA
sys, NA, 0, NA
DBI, NA, 0, NA
rematch2, NA, 0, NA
vroom, sysdata.rda, 0, https://raw.githubusercontent.com/cran/vroom/1.6.5/data/sysdata.rda
sf, bgmap.rda, 0, https://raw.githubusercontent.com/cran/sf/1.0-16/data/bgmap.rda
tzdb, NA, 0, NA
broom, sysdata.rda, 0, https://raw.githubusercontent.com/cran/broom/1.0.5/data/sysdata.rda
timechange, NA, 0, NA
bit, NA, 0, NA
RcppArmadillo, NA, 0, NA
brio, NA, 0, NA
bit64, benchmark64.data.rda, 0, https://raw.githubusercontent.com/cran/bit64/4.0.5/data/benchmark64.data.rda
bit64, optimizer64.data.rda, 0, https://raw.githubusercontent.com/cran/bit64/4.0.5/data/optimizer64.data.rda
haven, NA, 0, NA
rvest, sysdata.rda, 0, https://raw.githubusercontent.com/cran/rvest/1.0.4/data/sysdata.rda
backports, NA, 0, NA
clipr, NA, 0, NA
rprojroot, NA, 0, NA
zoo, MSFT.rda, 0, https://raw.githubusercontent.com/cran/zoo/1.8-12/data/MSFT.rda
zoo, sunw.rda, 0, https://raw.githubusercontent.com/cran/zoo/1.8-12/data/sunw.rda
zoo, MSFT.rda, 0, https://raw.githubusercontent.com/cran/zoo/1.8-12/data/MSFT.rda
zoo, sunw.rda, 0, https://raw.githubusercontent.com/cran/zoo/1.8-12/data/sunw.rda
dbplyr, NA, 0, NA
rematch, NA, 0, NA
igraph, NA, 0, NA
testthat, NA, 0, NA
cellranger, NA, 0, NA
htmlwidgets, NA, 0, NA
